DOCUMENTOASSOCIADO;BI;EXCEL
4-21051823379;2;1
4-21218241431;2;1
4-31641806208;2;1
4-35991774308;2;1
4-41980590304;2;1
4-44871438230;2;1
4-46472456503;2;1
4-46527482477;2;1
4-47113578265;2;1
4-47333977787;2;1
4-47421240842;2;1
4-47474115753;2;1
4-47498712900;2;1
4-47820898145;2;1
4-48031590291;2;1
4-48048797269;2;1
4-48366553984;2;1
4-48384609432;2;1
4-48773251084;2;1
4-49004755497;2;1
4-49392946156;2;1
4-49569467781;2;1
4-49590041052;2;1
4-49596184734;2;1
4-49724967855;2;1
4-49841448063;2;1
4-50052292779;2;1
4-50932697086;2;1
4-51004705581;2;1
4-51126811899;2;1
4-51340270356;2;1
4-51454718759;2;1
4-51485464990;2;1
4-51492389813;2;1
4-51663265949;2;1
4-52099105301;2;1
4-52170118567;2;1
4-52997223017;2;1
4-53135649472;2;1
4-53382978312;2;1
4-53406685161;2;1
4-53538730135;2;1
4-53806281904;2;1
4-53934679541;2;1
4-54549545073;2;1
4-55323687840;2;1
4-55431387177;2;1
4-55505612863;2;1
4-55612929492;2;1
4-55739680358;2;1
4-55741191399;2;1
4-56099143619;2;1
4-56115058261;2;1
4-56286782245;2;1
4-56293407284;2;1
4-56580603484;2;1
4-56583102660;2;1
4-56592602392;2;1
4-56734857743;2;1
4-57227996987;2;1
4-57238088727;2;1
4-57359651045;2;1
4-57466554152;2;1
4-57564134782;2;1
4-57918063528;2;1
4-58121088945;2;1
4-58339736444;2;1
4-58627594517;2;1
4-58703740199;2;1
4-58788401742;2;1
4-58791303914;2;1
4-58801769573;2;1
4-58889091230;2;1
4-58906863795;2;1
4-58946371848;2;1
4-58964387535;2;1
4-59061053712;2;1
4-59082050922;2;1
4-59204571525;2;1
4-59433014984;2;1
4-59670458502;2;1
4-59818246045;2;1
4-59913147105;2;1
4-60002492326;2;1
4-60040719683;2;1
4-60135476794;2;1
4-60173035082;2;1
4-60343525489;2;1
4-60343602963;2;1
4-60390380115;2;1
4-60415146073;2;1
4-60425647249;2;1
4-60514683797;2;1
4-60831559130;2;1
4-60835121877;2;1
4-60867323158;2;1
4-60954626480;2;1
4-61261183511;2;1
4-61286791039;2;1
4-61383616644;2;1
4-61388403032;2;1
4-61438876128;2;1
4-61714536387;2;1
4-62383811107;2;1
4-62398863405;2;1
4-62561585236;2;1
4-63917251027;2;1
4-64718877943;2;1
4-64839867049;2;1
4-65294527583;2;1
4-66100686821;2;1
4-66833591304;2;1
4-68052013518;2;1
4-68204307664;2;1
4-68562696083;2;1
4-68733933531;2;1
4-69873699001;2;1
4-70278459839;2;1
4-70432419381;2;1
4-70923699951;2;1
4-71130444238;2;1
